category,industry_or_context,recommendation,must_have,anti_pattern,severity,source
色彩,if 企业级 B2B / 密集数据工具,单一强调色策略：所有交互元素（按钮/链接/焦点/激活态）只用一个品牌蓝 IBM Blue 60 #0f62fe，其余全为灰阶,全站交互色唯一,引入第二强调色；monochrome+blue 体系里混入其他彩色,red,design-md/media-and-consumer-tech/ibm.md
字体,if 企业级展示标题（42px+）,展示级标题用 Light 300 权重制造轻盈的权威；微字距只加在小字号：14px 加 0.16px、12px 加 0.32px,letter-spacing 仅用于 14px 及以下,给展示级大标题加 letter-spacing；使用 700 Bold（该体系权重止步 600）,yellow,design-md/media-and-consumer-tech/ibm.md
组件,if 企业级按钮/表单,按钮、输入框、卡片一律 0px 直角；输入框只用 2px 底边框，不做四边包围盒,主按钮 0px 圆角 + 48px 高度,圆角按钮；输入框全包围边框,yellow,design-md/media-and-consumer-tech/ibm.md
深度层次,if 企业级密集 UI,用背景色分层（#ffffff→#f4f4f4→#e0e0e0）表达深度；阴影只保留给真正悬浮的元素（下拉/tooltip/modal）,,卡片/瓦片加 box-shadow；渐变背景,yellow,design-md/media-and-consumer-tech/ibm.md
布局,if 企业级栅格,8px 基础网格，一切间距可被 8 整除（2px/4px 仅作微调）；主要区块转换用 48px 垂直节奏,间距全部落在 8px 网格上,任意间距值（如 13px/21px）,info,design-md/media-and-consumer-tech/ibm.md
响应式,if 企业工具触控目标,交互元素统一高度：按钮默认 48px、输入框 40-48px、图标按钮 48px 见方、移动菜单行 48px,触控目标 ≥40px,,info,design-md/media-and-consumer-tech/ibm.md
组件,if 标签/徽章（企业级）,Tag 用语义色 10% 透明度背景 + 对应 60 级前景色，4px 8px 内边距；24px 胶囊是 0px 直角体系的唯一例外,,,info,design-md/media-and-consumer-tech/ibm.md
字体,if 企业级双密度场景,Productive（密集 UI，行高 1.29）与 Expressive（营销/编辑内容，行高 1.40-1.50）双行高模式按场景切换,,,info,design-md/media-and-consumer-tech/ibm.md
色彩,if 深色主题下的交互色,深色主题（Gray 100 #161616 底）交互蓝提亮为 Blue 40 #78a9ff 保证对比度,,深色底沿用浅色主题的深蓝导致对比不足,info,design-md/media-and-consumer-tech/ibm.md
色彩,if 金融科技高端定位,标题用深海军蓝 #061b31 而非纯黑（暖度传达金融级质感）；深色区块用品牌靛蓝 #1c1e54,,纯黑 #000000 做标题色；深色区块用纯黑或中性灰,yellow,design-md/fintech-and-crypto/stripe.md
深度层次,if 金融科技品牌化阴影,"阴影带品牌色调：rgba(50,50,93,0.25) 蓝调远影 + rgba(0,0,0,0.1) 中性近影，双层视差",,中性灰/纯黑单层阴影,info,design-md/fintech-and-crypto/stripe.md
字体,if 金融数字/表格展示,所有表格与金融数据启用 OpenType tnum 等宽数字；段落内数字仍用正文特性，两者不重叠,表格数字启用 tnum,用比例数字排金融表格,yellow,design-md/fintech-and-crypto/stripe.md
字体,if 高端金融展示标题,展示级 300 极轻权重 + 负字距渐进收紧（-1.4px@56px → -0.96px@48px → -0.64px@32px），轻盈即奢侈,,600-700 重磅标题；展示级正字距,info,design-md/fintech-and-crypto/stripe.md
